row_index,url,reason,http_status
10564,,no_url,
10565,,no_url,
10569,,no_url,
10573,,no_url,
10575,,no_url,
10577,http://www.battyefordprimary.com/,http_403,403
10578,,no_url,
10580,,no_url,
10581,,no_url,
10582,,no_url,
10584,,no_url,
10585,,no_url,
10587,,no_url,
10592,,no_url,
10593,,no_url,
10595,,no_url,
10597,,no_url,
10598,,no_url,
10599,,no_url,
10600,,no_url,
10601,,no_url,
10602,,no_url,
10603,,no_url,
10604,,no_url,
10606,,no_url,
10607,,no_url,
10608,,no_url,
10609,,no_url,
10610,,no_url,
10611,,no_url,
10612,,no_url,
10613,,no_url,
10614,,no_url,
10615,,no_url,
10616,,no_url,
10617,,no_url,
10619,,no_url,
10620,,no_url,
10621,,no_url,
10622,,no_url,
10623,,no_url,
10625,,no_url,
10626,,no_url,
10628,,no_url,
10629,,no_url,
10630,,no_url,
10632,,no_url,
10633,,no_url,
10634,,no_url,
10637,,no_url,
10638,,no_url,
10639,,no_url,
10640,,no_url,
10641,,no_url,
10642,,no_url,
10643,www.madnimuslimgirls.org.uk,host_not_exist,
10647,,no_url,
10649,,no_url,
10652,,no_url,
10653,,no_url,
10654,,no_url,
10655,,no_url,
10656,,no_url,
10657,,no_url,
10660,,no_url,
10661,,no_url,
10663,,no_url,
10664,,no_url,
10665,,no_url,
10666,www.featherbank.leeds.sch.uk,http_403,403
10667,,no_url,
10668,,no_url,
10669,,no_url,
10670,,no_url,
10671,,no_url,
10672,,no_url,
10674,,no_url,
10675,,no_url,
10678,,no_url,
10681,,no_url,
10682,,no_url,
10683,http://www.woodlesford.leeds.sch.uk/,http_429,429
10684,,no_url,
10685,,no_url,
10686,,no_url,
10687,,no_url,
10688,,no_url,
10690,,no_url,
10692,,no_url,
10699,,no_url,
10701,,no_url,
10702,,no_url,
10705,,no_url,
10706,,no_url,
10713,,no_url,
10714,,no_url,
10715,,no_url,
10716,,no_url,
10717,,no_url,
10720,,no_url,
10721,,no_url,
10723,www.broadgateprimary.org.uk,http_403,403
10724,,no_url,
10726,,no_url,
10727,,no_url,
10728,http://www.westgateprimary.co.uk,http_308,308
10729,,no_url,
10730,www.whartonsprimary.co.uk/,http_308,308
10731,,no_url,
10734,www.brudenellprimary.co.uk/,http_403,403
10737,,no_url,
10739,,no_url,
10744,,no_url,
10747,,no_url,
10748,,no_url,
10749,,no_url,
10751,,no_url,
10754,,no_url,
10755,,no_url,
10756,,no_url,
10760,,no_url,
10762,,no_url,
10764,www.moorallertonhall.leeds.sch.uk,http_403,403
10767,,no_url,
10768,,no_url,
10770,,no_url,
10771,,no_url,
10776,,no_url,
10778,,no_url,
10779,,no_url,
10780,,no_url,
10784,,no_url,
10785,,no_url,
10786,,no_url,
10788,,no_url,
10790,,no_url,
10791,,no_url,
10792,www.parklandsprimary.org.uk/,host_not_exist,
